row_number,participant_ID,item_ID,POWER,ACHIEVEMENT,HEDONISM,STIMULATION,SELF,UNIVERSALISM,BENEVOLENCE,TRADITION,CONFORMITY,SECURITY
1,glove840B300d_idf_weight_lyrics,126273707,-0.0041107190772891,-0.0279829632490873,0.0751445963978767,-0.0099701602011919,0.0145617006346583,0.0122598120942711,0.0497764907777309,0.0675334483385086,0.0090985307469964,-0.00398532114923
2,glove840B300d_idf_weight_lyrics,99567684,0.2069480121135711,0.1711657643318176,0.2439558207988739,0.1676429063081741,0.2250139117240905,0.1942068338394165,0.2422251850366592,0.1938623636960983,0.1158198118209838,0.2024980187416076
3,glove840B300d_idf_weight_lyrics,102339234,0.206562727689743,0.1675250083208084,0.2038772106170654,0.1500705778598785,0.2061988115310669,0.1777844578027725,0.2010214030742645,0.1880191415548324,0.1230009645223617,0.1913042962551117
4,glove840B300d_idf_weight_lyrics,1632500,0.125736579298973,0.0952652469277381,0.1481723189353943,0.0896329805254936,0.1355771422386169,0.1223068535327911,0.1494877338409423,0.1218858212232589,0.0762615576386451,0.1272736638784408
5,glove840B300d_idf_weight_lyrics,35094579,0.1851779818534851,0.1445548683404922,0.2257008701562881,0.1377622783184051,0.1979524940252304,0.1758849024772644,0.2112585008144378,0.1768382936716079,0.1030252575874328,0.1653237342834472
6,glove840B300d_idf_weight_lyrics,16843548,0.1712221801280975,0.134363979101181,0.1950116753578186,0.1236515641212463,0.1729298830032348,0.1631637513637542,0.1757146120071411,0.1774625033140182,0.0942704826593399,0.1605135351419448
7,glove840B300d_idf_weight_lyrics,106839634,0.0302049264302843,0.009639961781549,0.0730713988243063,-0.0178527394729996,0.030573659149008,0.0181987319084692,0.0467238608702941,0.0053708952867799,-0.0203511387295463,0.0455378024564947
8,glove840B300d_idf_weight_lyrics,134245346,-0.0348092257806946,-0.0301217380613791,0.0232679628174324,-0.0388657571522076,-0.0027555473793037,-0.0162545845486062,0.0090463115435159,0.0073659945803103,-0.0080895470760519,-0.0072292778602717
9,glove840B300d_idf_weight_lyrics,5635960,0.3508961796760559,0.217125654220581,0.2168312668800354,0.2198231816291809,0.2571454644203186,0.2423911392688751,0.2494511604309082,0.2113333940505981,0.1908518373966217,0.2560985684394836
10,glove840B300d_idf_weight_lyrics,142836663,0.1990426480770111,0.1525071859359741,0.2065494805574417,0.1425268352031707,0.1999039947986602,0.174371600151062,0.2058745324611663,0.1725236922502517,0.1146741509437561,0.1835816204547882
11,glove840B300d_idf_weight_lyrics,152156857,0.2270045578479766,0.1906357705593109,0.2337895780801773,0.1631004959344864,0.2429443001747131,0.2203382700681686,0.2652281522750854,0.2287651151418686,0.1495437175035476,0.2185068428516388
12,glove840B300d_idf_weight_lyrics,46337905,0.2468799650669098,0.2035212814807891,0.2668696939945221,0.1849600374698639,0.2669360041618347,0.2335971444845199,0.2774242758750915,0.2199810147285461,0.14480522274971,0.2313534617424011
13,glove840B300d_idf_weight_lyrics,828136,0.2274362742900848,0.178347647190094,0.2334671765565872,0.1503788977861404,0.2202475368976593,0.1857005953788757,0.220067948102951,0.1752357333898544,0.10945475846529,0.2041492164134979
14,glove840B300d_idf_weight_lyrics,80988232,0.2168089896440506,0.1852770149707794,0.2262539714574813,0.1789357215166092,0.2304888665676117,0.2082032561302185,0.2227689176797866,0.2237618118524551,0.1490764617919922,0.1821979284286499
15,glove840B300d_idf_weight_lyrics,76983686,0.0955787301063537,0.0591750219464302,0.1392913609743118,0.079695425927639,0.1037527918815612,0.0930725410580635,0.1146612614393234,0.1016116291284561,0.0520640686154365,0.0934224352240562
16,glove840B300d_idf_weight_lyrics,148763951,0.2191635072231292,0.1841351687908172,0.233104258775711,0.1556353271007537,0.2322068810462951,0.2024332582950592,0.2418608963489532,0.1778061985969543,0.1223884969949722,0.2076500058174133
17,glove840B300d_idf_weight_lyrics,2107983,0.2711310386657715,0.2307279109954834,0.2750698924064636,0.199171245098114,0.2939285039901733,0.2660465538501739,0.3060958981513977,0.2502368092536926,0.1805642545223236,0.2522895932197571
18,glove840B300d_idf_weight_lyrics,57005772,0.2036285698413849,0.1721963882446289,0.2161844372749328,0.148636132478714,0.2229682207107544,0.2042433023452758,0.2383796274662017,0.2090075016021728,0.1256030648946762,0.2016275078058242
19,glove840B300d_idf_weight_lyrics,2565059,0.2018613368272781,0.1626687049865722,0.2032773196697235,0.1486465036869049,0.208304688334465,0.181317538022995,0.2087322175502777,0.1726887971162796,0.1212368160486221,0.1867918074131012
20,glove840B300d_idf_weight_lyrics,98114160,0.2117702960968017,0.1741592437028885,0.2417763769626617,0.1589200049638748,0.2283051311969757,0.1992557942867279,0.2381810843944549,0.2045203745365142,0.1190104782581329,0.1964028477668762
21,glove840B300d_idf_weight_lyrics,49562778,0.2083840072154998,0.1515190601348877,0.2160435318946838,0.1519427597522735,0.2043573260307312,0.1883335411548614,0.208008199930191,0.2040192931890487,0.1243995279073715,0.2015090733766555
